LANDSLIDE_,LOCATION,COUNTY,QUADRANGLE,CITY,SP-EASTING,SP-NORTHING,Longitude,Latitude,PROCESS,GEOLOGY,SOILCODE,SERIES,CAUSE,STATUS,LENGTH,WIDTH,SCARP,VOLUME,SLOPE,DATES,MITIGATION,COST,COMMENTS,NAME,
LO-156,"Hwy 10, ~200' W. of Terwilliger",Multnomah,Lake Oswego,Portland,7641464,668820,-122.68601,45.48039,Debris Slide,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,25,35,2,65,85,Feb-9,removal,"5,000","extremely steep cutslope, almost overhanging",,
LO-157,across from 4053 SW Hillsdale,Multnomah,Lake Oswego,Portland,7637340,673791,-122.70261,45.49371,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,30,210,6,1400,30,96,removal,"10,000","large earth movement ongoing, running springs coming out of toe (12/11/97",,
LO-158,SW Fairmount Blvd ~.3 mi S of SW Beaverton Ave,Multnomah,Lake Oswego,Portland,7637157,673837,-122.70333,45.49382,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,50,70,4,519,35,96,none,0,"may be slope wash from older slide, volume possibly overestimated",,
LO-159,"SW Fairmount Blvd, ~100 m SE from LO-158",Multnomah,Lake Oswego,Portland,7637409,673276,-122.70229,45.49230,Debris Slide,PHS,8D,Cascade-urban land complex,Natural,Unfixed,20,10,2,15,60,96,none,0,,,
LO-160,SW Fairmount @ SW 18th Dr just E. and across from inte,Multnomah,Lake Oswego,Portland,7638507,672086,-122.69788,45.48912,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,30,205,7,1594,55,96,removal,"20,000","large complex of 4-5 slumps.  House across red-tagged in 96, re-occupied",,
LO-161,across from 3088 SW Fairmount below OPB towers,Multnomah,Lake Oswego,Portland,7639148,672269,-122.69540,45.48967,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,25,70,4,259,40,96,removal,"10,000",signs of recent activity,,
LO-162,~ .25 mi W of LO-161 behind 4224 McDonnel Ter,Multnomah,Lake Oswego,Portland,7639045,673619,-122.69594,45.49337,Slump,PHS,8C,Cascade-urban land complex,Human/Cutslope,Fixed,30,100,3,333,50,96,plastic sheeting and odd 2x4 erosion control,"8,000",see photo for fix,,
LO-163,SW Fairmount Blvd @ SW McDonnel Ter,Multnomah,Lake Oswego,Portland,7638690,673848,-122.69735,45.49397,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,60,60,8,1067,45,Feb-9,plastic sheeting and removal,"10,000",still only tarped after 2 years,,
LO-164,SW Fairmount ~50 m N of LO-163,Multnomah,Lake Oswego,Portland,7638736,673986,-122.69719,45.49435,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Cutslope,Unfixed,40,60,5,444,45,Feb-9,revegetated and removal,"8,000","reveg taking well, no movement since winter 96",,
LO-165,SW Fairmount ~50 m N of LO-164,Multnomah,Lake Oswego,Portland,7638782,674123,-122.69702,45.49473,Slump-Earthflow,PHS,17E,Goble silt loam,Human/Water Co,Unfixed,40,50,7,519,45,Feb-9,tarp and removal,"6,000","obvious drainage from balcony above slide, rust stains evident",,
LO-166,SW Terwilliger ~ .25 mi S. from Hwy 10,Multnomah,Lake Oswego,Portland,7641849,668069,-122.68443,45.47836,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,40,55,6,489,40,Feb-9,"I-beam ret. wall, extensive drains, rock fill","40,000","very sturdy wall, well covered drainage system",,
LO-167,SW Terwilliger ~200 m S. of LO-166,Multnomah,Lake Oswego,Portland,7641872,667828,-122.68431,45.47770,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Unfixed,55,145,6,1772,40,Feb-9,removal,"15,000","SE end of slide shows signs of recent activity, seedlings gone, re-activa",,
LO-168,SW Terwilliger @ Burlingame Ter,Multnomah,Lake Oswego,Portland,7641632,666844,-122.68514,45.47498,Slump-Earthflow,PHS,8D,Cascade-urban land complex,Human/Cutslope,Fixed,25,18,2,33,50,96,"removal, geofabric","7,000",,,
LO-169,SW Multnomah Blvd across from Jerome F. Seaver Army re,Multnomah,Lake Oswego,Portland,7637374,663434,-122.70138,45.46532,Slump-Earthflow,PHS,8B,Cascade-urban land complex,Human/Cutslope,Fixed,20,55,4,163,40,96,"Modular retaining wall, rock fill","35,000",,,
LO-170,3323 SW Multnomah Blvd,Multnomah,Lake Oswego,Portland,7635131,664063,-122.71018,45.46687,Slump-Earthflow,PHS,8B,Cascade-urban land complex,Human/Cutslope,Fixed,30,80,4,356,35,96,"Modular retaining wall, rock fill, and geofabric","60,000",only the portion behind the retaining wall seems to have failed. 70'X30',,
LO-171,~SW Multnomah/SW 45th,Multnomah,Lake Oswego,Portland,7630954,664429,-122.72650,45.46756,Slump-Earthflow,PHS,8C,Cascade-urban land complex,Human/Cutslope,Fixed,60,325,,7222,70,96/97,"Modular retaining wall, rock fill, regrading, revegetation","150,000",major repair job.  This must have been a road closer!  In old railway gul,,
LO-172,in Shadow Creek Apts parking lot ~Multnomah & 51st,Multnomah,Lake Oswego,Portland,7629947,663891,-122.73036,45.46601,Slump-Earthflow,PHS,8C,Cascade-urban land complex,Human/Cutslope,Unfixed,60,100,5,1111,45,97,small ret. wall @ toe (from construction crew?),"2,000",,,
LO-173,SW 51st St & SW Multnomah,Multnomah,Lake Oswego,Portland,7630290,664567,-122.72910,45.46789,Earthflow,PHS,7E,Cascade silt loam,Human/Fill,Fixed,45,45,3,225,25,96/97,"new culvert, rock fill, and road patch","40,000",possibly a blocked culvert,,
LO-174,SW Multnomah Blvd across from Hidden Village Ret. comm,Multnomah,Lake Oswego,Portland,7628905,664441,-122.73448,45.46744,Slump-Earthflow,PHS,8C,Cascade-urban land complex,Human/Cutslope,Fixed,70,300,7,5444,45,96,"Modular ret. wall, rock fill, drainage system","150,000","major repair, a la LO-171, appears to be same contractors work.",,
LO-175,6100 block of SW Multnomah Blvd,Multnomah,Lake Oswego,Portland,7627360,664486,-122.74051,45.46745,Slump-Earthflow,PHS,8B,Cascade-urban land complex,Human/Cutslope,Fixed,50,100,5,926,40,96/97,"regraded, grass cover","20,000",not over yet.  Failed again 1/98 just prior to field check,,
LO-176,"Riverside Cemetary Mausoleum, SW Taylors Ferry",Multnomah,Lake Oswego,Portland,7644494,663404,-122.67363,45.46576,Earthflow,Fill,19E,"Haploxerolls, steep",Human/Fill,Fixed,60,80,2,356,35,Feb-9,"regraded, filled, landscaped, terraced walls","25,000",occured on hill leading up to upper floors of mausoleum.  Now terraced an,,
LO-177,SW Fulton Park Blvd & SW Kelly Ave,Multnomah,Lake Oswego,Portland,7644078,665270,-122.67545,45.47085,Slump-Earthflow,PHS,8C,Cascade-urban land complex,Human/Water Co,Unfixed,20,25,3,56,35,Feb-9,none,0,"in back yard of corner house (slide facing Kelly Ave), in next yard is ma",,
LO-178,SW Terwilliger Blvd ~200' north and across from LO-101,Multnomah,Lake Oswego,Portland,7641609,671939,-122.68577,45.48895,Slump,PHS,17E,Goble silt loam,Natural,Unfixed,35,25,8,259,35,Feb-9,none,0,perfect textbook slump,,
LO-179,across from 740 SW Westwood Dr,Multnomah,Lake Oswego,Portland,7641119,669651,-122.68744,45.48264,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,70,40,5,519,40,Feb-9,"removal, drainage, rock fill","70,000",faulty rain gutter leaked on backyard and saturated soil during excessive,,
LO-180,SW Terwilliger Ct,Multnomah,Lake Oswego,Portland,7640958,668578,-122.68795,45.47969,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,30,30,5,167,35,Feb-9,"removal, rock fill","30,000",french drains above saturated slope,,
LO-181,SW Terwilliger Ct,Multnomah,Lake Oswego,Portland,7640870,668591,-122.68830,45.47972,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,30,30,5,167,35,Feb-9,"removal, rock fill, ret. wall","35,000",french drains above saturated slope,,
LO-182,SW Terwilliger Ct,Multnomah,Lake Oswego,Portland,7640803,668605,-122.68856,45.47975,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,30,30,5,167,35,Feb-9,"removal, rock fill","100,000",french drains above saturated slope,,
LO-183,above 7463 SW Barbur (behind Hollywood Video),Multnomah,Lake Oswego,Portland,7641105,665699,-122.68708,45.47180,Slump,PHS,8D,Cascade-urban land complex,Human/Water Co,Fixed,20,30,5,111,50,Feb-9,"ret. wall, road patch","75,000",I beam wall,,
LO-184,SW Cullen Blvd,Multnomah,Lake Oswego,Portland,7633188,670329,-122.71842,45.48391,Earthflow,PHS,8D,Cascade-urban land complex,Human/Water Co,Unfixed,70,30,,778,50,Feb-9,none,"150,000","house red-tagged, abandoned, demolished (slide filled interior)",,
BV-28,"I-84, m.p. 23.0-23.5, Columbia River Gorge",Multnomah,Bridal Veil,,7746804,689013,-122.27714,45.54284,Streambank erosion,Qal,W,,Natural,Fixed,,,,,,Feb-9,,"912,000",Price includes BV-29,,
BV-29,"I-84, m.p. 30.0, Columbia River Gorge",Multnomah,Bridal Veil,,7778248,699291,-122.15526,45.57285,Streambank erosion,Qal,44,Sauvie silt loam,Natural,Fixed,,,,,,Feb-9,,,,,
MF-6,"I-84, m.p. 35.97, Dodson/Warrendale",Multnomah,Multnomah F,,7805351,707363,-122.05004,45.59646,Debris Flow,CRBG/Qal/Qls,29C,Multnomah silt loam,Natural,Fixed,,,,,,Feb-9,,"1,366,00",These several (MF-6 through MF-12) are the Dodson-Warrendale Debris flows,,
MF-7,"I-84, m.p. 36.18, Dodson/Warrendale",Multnomah,Multnomah F,,7805918,707799,-122.04786,45.59769,Debris Flow,CRBG/Qal/Qls,3D,Aschoff cobbly loam,Natural,Fixed,,,,,,Feb-9,,,Costs quoted here are repair costs for I-84 only. At least 1 home was com,,
MF-8,"I-84, m.p. 36.27, Dodson/Warrendale",Multnomah,Multnomah F,,7806354,708017,-122.04617,45.59831,Debris Flow,CRBG/Qal/Qls,3D,Aschoff cobbly loam,Natural,Fixed,,,,,,Feb-9,,,A freight train was knocked off the tracks.,,
MF-9,"I-84, m.p. 36.39, Dodson/Warrendale",Multnomah,Multnomah F,,7807749,708845,-122.04078,45.60065,Debris Flow,CRBG/Qal/Qls,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Fixed,,,,,,Feb-9,,,Several initiation points in the bluffs of CRB overlooking Dodson/Warrend,,
MF-10,"I-84, m.p. 36.51, Dodson/Warrendale",Multnomah,Multnomah F,,7808054,709543,-122.03964,45.60258,Debris Flow,CRBG/Qal/Qls,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Fixed,,,,,,Feb-9,,,,,
MF-11,"I-84, m.p. 37.83, Dodson/Warrendale",Multnomah,Multnomah F,,7808839,710196,-122.03663,45.60441,Debris Flow,CRBG/Qal/Qls,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Fixed,,,,,,Feb-9,,,,,
MF-12,"I-84, m.p. 38.50, Dodson/Warrendale",Multnomah,Multnomah F,,7809841,710938,-122.03277,45.60650,Debris Flow,CRBG/Qal/Qls,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Fixed,,,,,,Feb-9,,,,,
MF-13,"I-84, m.p. 41.60, Columbia River Gorge",Multnomah,Multnomah F,,7824744,717195,-121.97499,45.62442,Streambank erosion,Qal,29C,Multnomah silt loam,Natural,Fixed,,,,,,Feb-9,,"35,000","Tooth Rock Tunnel & Viaduct- Water & hydraulic problems, embankment washo",,
BO-1,End of paved road at bend in Eagle Creek,Multnomah,Bonneville,Multnomah,7838379,722212,-121.92205,45.63885,Rockfall/Translationa,Eagle Creek Fm.,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Unfixed,40,40,5,296,70,,none,,failing on obvious spring line in Eagle Creek Fm,,
BO-2,~20 m upstream of BO-1,Multnomah,Bonneville,Multnomah,7838379,722051,-121.92204,45.63841,Debris Flow,CRBG/Eagle Creek,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Unfixed,40,20,,356,60,,none,,400' runout down to Eagle Creek,,
BO-3,next minor drainage upstream from BO-2,Multnomah,Bonneville,Multnomah,7838519,721922,-121.92148,45.63806,Debris Flow,CRBG/Eagle Creek,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Unfixed,25,12,8,89,60,,none,,"400' runout down to Eagle Creek, dimensions for erosive source area",,
BO-4,~200 m upstream from BO-3,Hood Rive,Bonneville,Hood Rive,7839079,721760,-121.91928,45.63764,Debris Flow,CRBG/Eagle Creek,W,,Natural,Unfixed,20,20,8,119,65,,none,,"300' runout to Creek, flows/slides seem to be initiating at upper contact",,
BO-5,~100 m upstream from Fall Creek,Hood Rive,Bonneville,Hood Rive,7840167,720586,-121.91495,45.63447,Translational/Debris,Eagle Creek Fm.,W,,Natural,Unfixed,15,20,3,33,60,,none,,100' runout,,
BO-6,~200 m upstream from Metlaka Falls,Hood Rive,Bonneville,Hood Rive,7841395,720274,-121.91013,45.63368,Rockfall/Translationa,CRBG/Eagle Creek,W,,Human/Cutslope,Unfixed,65,50,,1204,60,,none,,"possibly daylighted at cutslope of trail(??), trail ascending to contact",,
BO-7,~300 m upstream from Metlaka Falls,Hood Rive,Bonneville,Hood Rive,7841686,719789,-121.90896,45.63236,Translational/Debris,CRBG/Eagle Creek,W,,Human/Cutslope,Unfixed,30,30,4,133,50,,none,,"vegetation appears to be from 96 (amt of growth/moss thickness, etc.)",,
BO-8,~100 m downstream from BO-1,Multnomah,Bonneville,Multnomah,7838174,722374,-121.92286,45.63928,Translational,Eagle Creek Fm.,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Unfixed,100,60,4,889,60,,none,,on W. side of Eagle Creek on cutbank,,
BO-9,.5 km up road from E.C. hatchery office,Multnomah,Bonneville,Multnomah,7837948,722460,-121.92375,45.63951,Slump/Translational,Eagle Creek Fm.,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Natural,Unfixed,25,35,,324,50,,none,,"50' of runout, toe in Eagle Creek (source above W. bank)",,
D-1,"Hwy 224, .4 mi W. of Keller Rd",Clackamas,Damascus,Clakcamas,7696437,637036,-122.46872,45.39712,Earthflow,Troutdale,56,McBee silty clay loam,Human/Cutslope,Unfixed,30,60,3,200,35,96,removal,"5,000",,,
D-2,17571 SE Hwy 224,Clackamas,Damascus,Clakcamas,7692904,636581,-122.48243,45.39563,Earthflow,Troutdale,3,Amity silt loam,Human/Cutslope,Fixed,25,100,,926,28,96,"removal, rock fill, new culvert","32,000","gravel driveway may have contributed runoff. fixed in 96, failed again in",,
D-3,SE Castle Ct. & Tower Rd,Clackamas,Damascus,Clakcamas,7715629,655962,-122.39576,45.45027,Earthflow/Debris Flow,Qes,13C,Cascade silt loam,Human/Fill,Fixed,100,50,,2778,25,Feb-9,"removal, gabien ret. wall, repaved road","50,000",200' runout in debris flow,,
D-4,across from 26180 SE Hwy 212,Clackamas,Damascus,Clakcamas,7717527,646710,-122.38752,45.42502,Earthflow,Troutdale,8C,Bornstedt silt loam,Human/Fill,Fixed,12,20,8,71,35,Feb-9,"removal, rock fill","25,000",red clay with basalt gravel (Boring Lava and associated soils),,
D-5,"Hwy 224, m.p. 12.5",Clackamas,Damascus,Clakcamas,7701941,632643,-122.44689,45.38544,Earthflow,Troutdale,8D,Bornstedt silt loam,Human/Cutslope,Unfixed,18,25,2,33,50,96,removal,"4,000",,,
D-6,"Hwy 224, m.p. 12.1",Clackamas,Damascus,Clakcamas,7701500,632643,-122.44861,45.38541,Earthflow,Troutdale,8D,Bornstedt silt loam,Human/Cutslope,Unfixed,75,25,6,417,40,96,removal,"5,000",lower Troutdale (quartzite pebbles),,
D-7,"Tong Rd, <.1 mi from Hwy 224",Clackamas,Damascus,Clakcamas,7693671,636749,-122.47946,45.39615,Earthflow,Troutdale,70D,Powell silt loam,Human/Cutslope,Unfixed,35,60,9,700,45,96,removal,"16,000",,,
D-8,"Hwy 224, .5 mi W of Keller Rd",Clackamas,Damascus,Clakcamas,7696108,637315,-122.47003,45.39786,Rockfall,Troutdale,56,McBee silty clay loam,Human/Cutslope,Unfixed,50,420,2,1556,80,96/97,removal,"30,000",several small slump/earthflows in fine grained section at top of cliffs,,
D-9,Hwy 224 across from D-8,Clackamas,Damascus,Clakcamas,7695868,637152,-122.47095,45.39740,Earthflow,Troutdale,56,McBee silty clay loam,Human/Fill,Unfixed,70,25,,648,50,Feb-9,none,0,road storm runoff likely cause,,
D-10,Hwy 224 across from D-8,Clackamas,Damascus,Clakcamas,7696070,637124,-122.47016,45.39733,Earthflow,Troutdale,56,McBee silty clay loam,Human/Fill,Unfixed,50,30,4,222,37,Feb-9,none,0,road storm runoff likely cause,,
D-11,"Hwy 224, .1 mi E of D8",Clackamas,Damascus,Clakcamas,7697221,637267,-122.46569,45.39780,Earthflow,Troutdale,92F,"Xerochrepts and Haploxerolls, very steep",Natural,Unfixed,50,50,2,185,50,96,none,0,natural slump within much larger paleoslide,,
D-12,"Hwy 224, m.p. 12.3",Clackamas,Damascus,Clakcamas,7701654,632710,-122.44801,45.38560,Earthflow,Troutdale,92F,"Xerochrepts and Haploxerolls, very steep",Human/Cutslope,Unfixed,60,25,3,167,55,96,removal,"5,000",suspected within paleoslide toe,,
D-13,across from Baker Cabin in Clear Creek cutbank,Clackamas,Damascus,Clakcamas,7689479,634476,-122.49556,45.38963,Slump-Earthflow,Troutdale,19,Cloquato silt loam,Natural,Unfixed,60,50,,2222,60,96/97,none,0,"in cutbank of Clear Creek, other possible cutbank erosion N. around bend",,
D-14,Binford Lake Pkwy @ Butler Creek,Multnomah,Damascus,Gresham,7699311,668433,-122.46050,45.48340,Streambank erosion,Fill,55,Wapato silt loam,Natural,Fixed,25,15,4,56,20,Feb-9,rip rap,"20,000","rip rap on both ends of ""lake"" in Butler Crk. High energy erosion during",,
D-15,Johnson Creek @ Roberts Ave & SE 2nd St,Multnomah,Damascus,Gresham,7707664,672781,-122.42835,45.49587,Streambank erosion,Fill,1B,Aloha silt loam,Natural,Fixed,20,50,3,111,25,Feb-9,rip rap,"20,000",High energy stream erosion during Feb. event,,
D-16,Above SE 13th Ct & Elliot Ave on Walters Hill,Multnomah,Damascus,Gresham,7707895,669890,-122.42718,45.48796,Debris Flow,Boring Lava Soil,34D,Powell silt loam,Natural,Fixed,200,35,6,1556,35,Feb-9,"Boulder catchment dam, removal","50,000",may be related to old logging CAT road,,
D-17,at end of Wilson Ct on Walters Hill,Multnomah,Damascus,Gresham,7704865,670474,-122.43905,45.48936,Debris Flow,Boring Lava Soil,7E,Cascade silt loam,Natural,Fixed,250,40,5,1852,35,Feb-9,"Home repair, sabo dams, catchment","70,000",oversaturation during storm event. slide initiated at old CAT road,,
C-2,On SE 186th Pl above SE (?) 2nd Cr,Multnomah,Camas,Gresham,7697209,674206,-122.46925,45.49909,Earthflow,Qls/Boring Lava,29E,Multnomah silt loam,Human/Cutslope,Fixed,50,100,,2037,40,Feb-9,"removal, rock fill, reveg","50,000",reactivation of deep-seated paleoslide (Qls). access restricted (gated ro,,
WA-9,"m.p. 2.10, Historic Columbia River Hwy",Multnomah,Washougal,Troutdale,7722835,686667,-122.37045,45.53492,Earthflow,Troutdale,20F,"Haplumbrepts, very steep",Natural,Fixed,200,60,8,3556,45,Feb-9,"removal, repavement","280,000",Costs include odot repairs ($50K) plus house that was pushed into Sandy R,,
WA-10,"m.p. 3.50, Historic Columbia River Hwy",Multnomah,Washougal,Multnomah,7724763,679526,-122.36229,45.51547,Rockfall,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
WA-11,"m.p. 3.70, Historic Columbia River Hwy",Multnomah,Washougal,Multnomah,7725665,680099,-122.35882,45.51709,Rockfall,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
WA-12,"m.p. 4.06, Historic Columbia River Hwy",Multnomah,Washougal,Multnomah,7725844,680210,-122.35813,45.51741,Rockfall,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
WA-13,"m.p. 4.25, Historic Columbia River Hwy",Multnomah,Washougal,Multnomah,7726033,680299,-122.35741,45.51767,Rockfall,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
WA-14,"m.p. 4.35, Historic Columbia River Hwy",Multnomah,Washougal,Multnomah,7726256,680411,-122.35655,45.51799,Rockfall,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
WA-15,"m.p. 4.55, Historic Columbia River Hwy",Multnomah,Washougal,Multnomah,7727004,680467,-122.35363,45.51819,Rockfall,Troutdale,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-5,"m.p. 11.0, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7753824,685631,-122.24946,45.53399,Rockfall,,20F,"Haplumbrepts, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-6,"m.p. 11.50, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7754667,686584,-122.24625,45.53665,Rockfall,,27D,Mershon silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-7,"m.p. 11.90, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7755987,686217,-122.24107,45.53572,Rockfall,,27D,Mershon silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-8,"m.p. 12.00, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7756354,685228,-122.23955,45.53303,Rockfall,,5C,Bull Run silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-9,"m.p. 12.06, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7756830,684751,-122.23766,45.53175,Rockfall,,5E,Bull Run silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-10,"m.p. 13.42, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7758627,685594,-122.23072,45.53417,Rockfall,,5C,Bull Run silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-11,"m.p. 13.49, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7759507,686694,-122.22737,45.53724,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-12,"m.p. 13.85, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7762367,687207,-122.21626,45.53881,Rockfall,,20C,"Haplumbrepts, moderately steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-13,"m.p. 14.00, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7763686,687867,-122.21117,45.54070,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-14,"m.p. 14.05, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7764163,687904,-122.20931,45.54083,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-15,"m.p. 14.10, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7764603,687904,-122.20759,45.54085,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-16,"m.p. 14.26, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7765520,688271,-122.20404,45.54191,Rockfall,,3E,Aschoff cobbly loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-17,"m.p. 15.03, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7766766,689590,-122.19929,45.54560,Rockfall,,3E,Aschoff cobbly loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-18,"m.p. 15.14, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7767463,690067,-122.19661,45.54695,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-19,"m.p. 16.01, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7771899,692633,-122.17950,45.55424,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-20,"m.p. 16.41, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7772376,693293,-122.17770,45.55608,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-21,"m.p. 16.66, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7773586,694467,-122.17307,45.55936,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-22,"m.p. 17.07, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7775895,696483,-122.16422,45.56502,Rockfall,,3D,Aschoff cobbly loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-23,"m.p. 17.30, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7776885,697326,-122.16042,45.56739,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-24,"m.p. 17.34, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7777142,697510,-122.15943,45.56791,Rockfall,,4F,"Aschoff-Rock outcrop-Wahkenna association, very steep",Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-25,"m.p. 18.00, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7779855,699453,-122.14900,45.57339,Rockfall,,44,Sauvie silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-26,"m.p. 18.50, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7782935,700259,-122.13703,45.57577,Rockfall,,W,,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
BV-27,"m.p. 18.93, Historic Columbia River Hwy",Multnomah,Bridal Veil,Multnomah,7784108,700443,-122.13247,45.57634,Rockfall,,W,,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
MF-1,"m.p. 19.22, Historic Columbia River Hwy",Multnomah,Multnomah F,Multnomah,7784923,700652,-122.12930,45.57696,Rockfall,,44,Sauvie silt loam,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
MF-2,"m.p. 19.50, Historic Columbia River Hwy",Multnomah,Multnomah F,Multnomah,7786039,700652,-122.12494,45.57702,Rockfall,,W,,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
MF-3,"m.p. 19.72, Historic Columbia River Hwy",Multnomah,Multnomah F,Multnomah,7787156,701004,-122.12061,45.57805,Rockfall,,W,,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
MF-4,"m.p. 20.30, Historic Columbia River Hwy",Multnomah,Multnomah F,Multnomah,7789212,701533,-122.11262,45.57961,Rockfall,,W,,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
MF-5,"m.p. 20.54, Historic Columbia River Hwy",Multnomah,Multnomah F,Multnomah,7790622,702003,-122.10715,45.58098,Rockfall,,W,,Human/Cutslope,Fixed,,,,,,Feb-9,,,,,
